•央視「Relay」,#genre#
CCTV 1 綜合「Relay」,https://iptv.yang-1989.xyz/cn/36mj6y?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 2 財經「Relay」,https://iptv.yang-1989.xyz/cn/2738gk?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 3 綜藝「Relay」,https://iptv.yang-1989.xyz/cn/94daeg?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 4 中文國際「Relay」,https://iptv.yang-1989.xyz/cn/mvczjm?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 5 體育「Relay」,https://iptv.yang-1989.xyz/cn/b4ufj9?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 5+ 體育賽事「Relay」,https://iptv.yang-1989.xyz/cn/cf5qdt?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 6 電影「Relay」,https://iptv.yang-1989.xyz/cn/4yvwy7?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 7 國防軍事「Relay」,https://iptv.yang-1989.xyz/cn/gfgmvx?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 8 電視劇「Relay」,https://iptv.yang-1989.xyz/cn/tvj3ds?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 9 記錄「Relay」,https://iptv.yang-1989.xyz/cn/s4edsf?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 10 科教「Relay」,https://iptv.yang-1989.xyz/cn/7pa58t?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 11 戲曲「Relay」,https://iptv.yang-1989.xyz/cn/wtuzkx?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 12 社會與法「Relay」,https://iptv.yang-1989.xyz/cn/s63n2z?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 13 新聞「Relay」,https://iptv.yang-1989.xyz/cn/f6ryam?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 14 少兒「Relay」,https://iptv.yang-1989.xyz/cn/ywh4nc?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 15 音樂「Relay」,https://iptv.yang-1989.xyz/cn/vg6u3z?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 16 奧林匹克「Relay」,https://iptv.yang-1989.xyz/cn/uv5y5n?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
CCTV 17 農村農業「Relay」,https://iptv.yang-1989.xyz/cn/rddfw9?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
北京衛視「Relay」,https://iptv.yang-1989.xyz/cn/e5b4ky?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
東方衛視「Relay」,https://iptv.yang-1989.xyz/cn/789ptx?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
廣東衛視「Relay」,https://iptv.yang-1989.xyz/cn/7mdktt?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
浙江衛視「Relay」,https://iptv.yang-1989.xyz/cn/7qgthw?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
江蘇衛視「Relay」,https://iptv.yang-1989.xyz/cn/rcdtsh?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
湖南衛視「Relay」,https://iptv.yang-1989.xyz/cn/r8njqy?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
四川衛視「Relay」,https://iptv.yang-1989.xyz/cn/qa8dvp?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
•香港「Relay」,#genre#
ua=okhttp/3.8
鳳凰衛視·中文「72小时回看」,https://iptv.yang-1989.xyz/phoenix/zmn6cj?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
鳳凰衛視·資訊「72小时回看」,https://iptv.yang-1989.xyz/phoenix/n3zjmb?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
鳳凰衛視·香港「72小时回看」,https://iptv.yang-1989.xyz/phoenix/57arsz?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
翡翠台「24小时回看」,https://iptv.yang-1989.xyz/hk/xb6s4b?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
無綫新聞台,https://iptv.yang-1989.xyz/hk/3ka64z?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
明珠台,https://iptv.yang-1989.xyz/hk/rxazry?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
TVB Plus,https://iptv.yang-1989.xyz/hk/c3mn4w?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
美亞電影台,https://iptv.yang-1989.xyz/hk/euuac9?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
PopC,https://iptv.yang-1989.xyz/hk/ramdn7?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
ViuTV,https://iptv.yang-1989.xyz/hk/zr92hy?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
ViuTVsix,https://iptv.yang-1989.xyz/hk/ytn8dq?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
Now直播台,https://iptv.yang-1989.xyz/hk/fbpzny?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
Now新聞台,https://iptv.yang-1989.xyz/hk/qzqxg5?token=0c6a5ac5bbc3a11e673c13666a2f299a82ae72813b48d8e9
