油管,#genre#
TVBS 55台 新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc,parse=1
TVBS新聞2 (備用),https://www.youtube.com/watch?v=m_dhMSvUCIc,parse=1
華視新聞 CTS,https://www.youtube.com/watch?v=wM0g8EoUZ_E,parse=1
鳳凰衛視資訊台,https://www.youtube.com/live/Ry--eMIjYLQ?si=Dm7-mC0Rr5C3nKFi,parse=1
華視綜藝頻道 (台湾),https://www.youtube.com/watch?v=0ePhPlTJbGo,parse=1
華視戲劇頻道 (台灣靈異事件),https://www.youtube.com/watch?v=6ZowCmLBcMY,parse=1
三立新聞 SETN,https://www.youtube.com/live/ljDm11vsLC0?si=wzIRdJz-5zWIJMUa,parse=1
東森新聞 ETtoday,https://www.youtube.com/watch?v=V1p33hqPrUk,parse=1
中天新聞 CTI,https://www.youtube.com/watch?v=vr3XyVCR4T0,parse=1
民視新聞 FTV,https://www.youtube.com/watch?v=ylYJSBUgaMA,parse=1
公視新聞 PTS,https://www.youtube.com/@ptsnews/live,parse=1
台視新聞 TTV,https://www.youtube.com/@ttvnews/live,parse=1
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc,parse=1
東森財經新聞,https://www.youtube.com/watch?v=1I2iq41Akmo,parse=1
三立iNEWS財經,https://www.youtube.com/watch?v=pF507BLtbqU,parse=1
中視新聞 CTV,https://www.youtube.com/watch?v=TCnaIE_SAtM,parse=1
鏡新聞 Mirror News,https://www.youtube.com/watch?v=5n0y6b0Q25o,parse=1
YTN新闻 (韩),https://www.youtube.com/@ytnnews24/live,parse=1
NHK World (日),https://www.youtube.com/@NHKWORLDJapan/live,parse=1
CNA亚洲新闻 (新),https://www.youtube.com/watch?v=XWq5kBlakcQ,parse=1
DW News (德),https://www.youtube.com/@dwnews/live,parse=1
Astro AWANI (马来西亚新闻),https://www.youtube.com/watch?v=mkVyNaGee8A,parse=1
CNN (美国新闻),https://www.youtube.com/watch?v=GotlA1KKWoo,parse=1
Yonhap News (韩国联合新闻),https://www.youtube.com/watch?v=6QZ_qc75ihU,parse=1
TBS NEWS DIG (日本新闻),https://www.youtube.com/watch?v=Anr15FA9OCI,parse=1
Nagoya TV News (名古屋),https://www.youtube.com/watch?v=-C6FE2m7kX8,parse=1
テレ朝NEWS (日本朝日),https://www.youtube.com/watch?v=coYw-eVU0Ks,parse=1
日テレNEWS (日本新闻),https://www.youtube.com/watch?v=t9kwjZBLI-A,parse=1
Berita RTM (马来西亚新闻),https://www.youtube.com/watch?v=2BtKvwKyCRA,parse=1
公視台語台,https://www.youtube.com/@TaiwaneseNews/live,parse=1
寰宇台灣台,https://www.youtube.com/watch?v=w87VGpgd90U,parse=1
CGTN中国环球,https://www.youtube.com/@CGTN/live,parse=1
TRT World (土),https://www.youtube.com/@trtworld/streams,parse=1
France 24 (法),https://www.youtube.com/@FRANCE24/live,parse=1
Al Jazeera (卡塔尔),https://www.youtube.com/@aljazeera/live,parse=1
Lofi Girl (音乐),https://www.youtube.com/@LofiGirl/live,parse=1
Chillhop Music (音乐),https://www.youtube.com/@ChillhopMusic/live,parse=1
CBC Music (加音乐),https://www.youtube.com/@CBCMusic/live,parse=1
NASA Live (科普),https://www.youtube.com/@NASA/live,parse=1
CCTV 中文 (央视综合),https://www.youtube.com/watch?v=vNVp6bxkL1c,parse=1
Singapore NDP (新加坡),https://www.youtube.com/watch?v=ipqTkEH3mhE,parse=1
LiveNOW from FOX (美国),https://www.youtube.com/watch?v=C96oohpWBGw,parse=1
ABC 7 New York (美国),https://www.youtube.com/watch?v=VrhYz4CL70I,parse=1
東森綜合台 (台湾),https://www.youtube.com/watch?v=cimbpAZUjzw,parse=1
KBS WORLD TV (韩国),https://www.youtube.com/watch?v=OxQQsIvJTTU,parse=1
八大劇樂部 (惡作劇之吻),https://www.youtube.com/watch?v=6lKL5znyZkc,parse=1
